chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10,chan11,chan12,chan13,chan14,chan15,chan16
-7,4,-9,-52,-32,-15,-6,-8,4,-11,1,38,-22,-8,-3,2
29,7,-4,-23,24,8,2,5,1,17,65,53,-37,8,7,7
-27,-15,-12,34,5,-8,-2,-8,-2,6,-20,-61,-11,-7,-5,-8
5,20,-24,-72,-14,-11,-2,-2,-7,-7,20,8,-13,-5,-2,-1
2,5,-9,20,25,2,-4,-3,0,3,47,-42,19,6,-1,-1
8,14,-5,-114,-20,-6,-2,7,9,16,17,-32,-3,-5,1,-2
8,-1,2,70,-16,15,10,10,0,3,-3,17,-12,-7,-5,-3
-21,-31,-4,64,-26,-7,-5,-7,3,12,1,20,-6,-5,-5,0
-18,-23,-13,-26,-15,-9,-4,-7,-8,-19,4,0,-25,-10,-9,-6
14,23,8,12,19,0,-2,0,-1,5,28,59,1,-2,0,-3
3,8,5,-18,36,16,5,1,6,-1,12,-26,-1,0,1,4
4,0,-10,-14,7,6,4,0,8,3,-19,-17,-22,-7,0,3
-5,-11,7,10,-28,-7,-2,-2,-2,-2,26,83,-7,8,-6,-4
-3,-5,2,2,-21,1,-5,-5,-4,3,-22,-46,-8,5,-2,-2
-3,-1,-6,-17,7,-1,4,1,6,7,34,-28,-8,-5,-5,2
