-26,-8,-15,-68,34,-18,-33,-128,2,0,-9,-29,90,12,-39,-76,handRock
6,3,22,-21,-46,53,44,40,-15,-13,-32,-49,-21,67,77,13,handRock
12,-2,-26,-36,-4,-31,-27,25,-11,20,46,88,37,94,-57,-5,handRock
3,6,-1,2,0,15,-13,-17,-3,40,41,65,6,-33,51,31,handRock
-1,0,8,70,-29,-6,3,0,-24,-78,-24,1,1,-23,-45,-25,handRock
-15,-7,-6,23,17,-3,-9,-1,-6,-10,-1,15,-3,1,-5,-30,handRock
2,14,15,-29,-23,-12,1,-5,-18,-12,-15,-35,1,-40,-49,-68,handRock
-8,4,7,39,0,-6,-5,7,7,11,-11,-24,-26,5,13,28,handRock
-5,-6,-8,-34,17,-6,20,56,9,4,12,89,38,27,17,11,handRock
-8,-6,-11,-43,-42,-19,-34,-81,-2,0,-3,-45,40,-21,-46,29,handRock
-5,-5,-8,0,8,10,28,-2,-5,14,-7,-30,-32,0,-14,-37,handRock
-14,-14,-34,-95,-27,-22,-11,-10,-4,-32,-8,11,18,22,-3,-24,handRock
8,17,22,37,5,38,14,0,10,10,-1,-20,-6,-14,-2,15,handRock
-9,4,10,-32,-36,-21,-22,-10,-16,-13,-5,12,-13,-1,-11,-28,handRock
8,0,24,93,34,13,18,22,1,-2,21,61,7,1,4,-4,handRock
-22,3,-1,-25,-6,-1,-16,-54,3,5,-1,40,16,2,4,23,handRock
10,-3,-23,-48,0,-21,-57,-72,5,2,6,-17,5,13,3,37,handRock
-10,-13,-23,-27,-11,-25,-10,26,-1,3,8,6,12,-34,22,6,handRock
3,10,16,27,17,44,18,15,-13,-10,-1,-11,8,-27,-30,1,handRock
2,6,15,40,18,2,2,13,2,-10,-23,-44,-2,6,5,1,handRock
-8,-11,-16,-73,-30,-9,-5,-4,-8,-3,8,-3,-57,-33,-11,-17,handRock
6,4,2,-7,-5,1,-4,1,-1,5,-8,-12,0,2,-5,-2,handRock
-5,-8,-12,-22,-2,-21,-7,2,6,2,11,10,-3,20,12,-9,handRock
4,5,11,62,8,22,4,0,2,3,-2,-4,3,-8,-4,2,handRock
2,-1,-6,-20,-14,22,30,49,-7,-3,-8,-8,8,-12,-7,0,handRock
-8,-12,-4,-18,11,-24,-33,-43,9,6,4,-25,-72,-12,12,39,handRock
-10,-6,-9,-8,9,11,28,-16,-10,-3,1,36,40,41,47,-28,handRock
-5,-1,-5,5,14,-6,-6,4,4,-7,-11,-23,27,5,1,5,handRock
7,-1,-1,-7,2,3,7,-11,-4,-5,6,-14,-8,13,15,8,handRock
11,7,12,29,-10,20,8,17,10,25,24,21,16,2,3,17,handRock
2,-4,-16,-70,-22,-4,0,-9,-8,-15,-25,-32,-28,7,-4,2,handRock
-3,4,-1,0,-17,-9,-29,-47,2,14,5,-10,-10,11,14,9,handRock
7,9,11,3,-23,23,22,14,-7,2,2,-4,31,-19,-5,-9,handRock
-3,-5,-3,5,5,-19,-8,10,3,3,3,25,-12,10,2,-1,handRock
-2,1,-1,-18,7,-3,-1,12,-5,-11,-15,-34,-20,10,35,15,handRock
5,-1,-6,-34,-34,5,35,88,-1,-10,-16,-15,-29,-22,-10,29,handRock
-9,-13,-25,-41,4,-28,-44,-70,-4,12,48,127,38,7,-33,-57,handRock
4,-8,-9,-15,-14,8,16,27,-1,-4,-13,-45,9,-16,-11,-46,handRock
4,1,12,10,1,11,-6,2,-1,3,0,7,3,2,9,23,handRock
4,0,-3,-26,-16,-8,-6,2,-11,8,33,85,2,-16,-72,-22,handRock
2,6,2,12,13,8,4,6,1,-6,-13,-17,1,-5,66,0,handRock
-2,2,-4,-85,-17,-10,-7,-6,-9,-29,-23,-26,-5,-9,-17,-24,handRock
13,20,37,112,37,17,18,44,-12,-12,2,-8,-22,9,-1,-23,handRock
3,0,-1,11,-24,19,26,13,-10,-9,-25,-81,-17,-21,14,8,handRock
-14,-1,5,32,27,-16,-23,-57,17,17,12,-7,0,20,1,36,handRock
3,-4,-16,-44,-3,-6,7,24,-2,7,17,74,10,15,16,0,handRock
